"""Brevia""","Brevia (Rome)"
"The American journal of occupational therapy. : official publication of the American Occupational Therapy Association","Am J Occup Ther"
"The American journal of orthopedic surgery","Am J Orthop Surg"
"The American journal of orthopedics","Am J Orthop"
"The American journal of orthopsychiatry","Am J Orthopsychiatry"
"The American journal of otology","Am J Otol"
"The American journal of pathology","Am J Pathol"
"The American journal of pediatric hematology/oncology","Am J Pediatr Hematol Oncol"
"The American journal of pharmacy","Am J Pharm"
"The American journal of physiology","Am J Physiol"
"The American journal of psychiatry","Am J Psychiatry"
"The American journal of psychology","Am J Psychol"
"The American journal of roentgenology, radium therapy, and nuclear medicine","Am J Roentgenol Radium Ther Nucl Med"
"The American journal of social psychiatry","Am J Soc Psychiatry"
"The American journal of sociology","Am J Sociol"
"The American journal of sports medicine","Am J Sports Med"
"The American journal of surgical pathology","Am J Surg Pathol"
"The American journal of the medical sciences","Am J Med Sci"
"The American journal of trial advocacy","Am J Trial Advocacy"
"The American journal of tropical medicine and hygiene","Am J Trop Med Hyg"
"The American journal on addictions / American Academy of Psychiatrists in Alcoholism and Addictions","Am J Addict"
"The American mathematical monthly : the official journal of the Mathematical Association of America","Am Math Mon"
"The American naturalist","Am Nat"
"The American neptune","Am Neptune"
"The American nurse","Am Nurse"
"The American orthoptic journal","Am Orthopt J"
"The American philatelist","Am Philat"
"The American political science review","Am Polit Sci Rev"
"The American prospect","Am Prospect"
"The American psychologist","Am Psychol"
"The American review of Canadian studies","Am Rev Can Stud"
"The American review of respiratory disease","Am Rev Respir Dis"
"The American scholar","Am Scholar"
"The American school board journal","Am Sch Board J"
"The American sociologist","Am Sociol"
"The American spectator","Am Spect"
"The American statistician","Am Stat"
"The American surgeon","Am Surg"
"The Amicus journal","Amic J"
"The Analyst","Analyst (Lond)"
"The Anatomical record","Anat Rec"
"The Anatomical record. Supplement : an offical publication of the American Association of Anatomists","Anat Rec Suppl"
"The Angle orthodontist","Angle Orthod"
"The Anglo-American law review","Anglo Am Law Rev"
"The Annals of applied biology","Ann Appl Biol"
"The Annals of occupational hygiene","Ann Occup Hyg"
"The Annals of otology, rhinology & laryngology. Supplement","Ann Otol Rhinol Laryngol Suppl"
"The Annals of otology, rhinology, and laryngology","Ann Otol Rhinol Laryngol"
"The Annals of pharmacotherapy","Ann Pharmacother"
"The Annals of regional science","Ann Reg Sci"
"The Annals of the American Academy of Political and Social Science","Ann Am Acad Pol Soc Sci"
"The Annals of the Chinese Historical Society of the Pacific Northwest / Mei-kuo hsi pei Hua jen li shih hsueh hui","Ann Chin Hist Soc Pac Northwest"
"The Annals of thoracic surgery","Ann Thorac Surg"
"The Antioch review","Antioch Rev"
"The Antiseptic","Antiseptic"
"The Appraisal journal","Appraisal J"
"The Arab economist","Arab Econ"
"The Arab journal of the social sciences","Arab J Soc Sci"
"The Archivist","Archivist"
"The Arizona dental journal","Ariz Dent J"
"The Arizona nurse","Ariz Nurse"
"The Ark-light newsletter","Ark Light Newsl"
"The Arkansas dental journal","Ark Dent J"
"The Arkansas historical quarterly","Ark Hist Q"
"The Armenian review","Armen Rev"
"The Army lawyer","Army Lawyer"
"The Army quarterly and defence journal","Army Q Def J"
"The Art bulletin","Art Bull"
"The Art of medication","Art Med"
"The Articulator","Articulator (Columb)"
"The Asbury theological journal","Asbury Theol J"
"The Asia Foundation news","Aisa Found News"
"The Asia magazine","Asia Mag"
"The Asian economic review","Asian Econ Rev"
"The Asian journal of economics : a journal of the Society for Asian Development","Asian J Econ"
"The Astronomical journal","Astron J"
"The Astrophysical journal","Astrophys J"
"The Astrophysical journal. Supplement series","Astrophys J Suppl Ser"
"The Atlanta historical journal","Atlanta Hist J."
"The Auk","Auk"
"The Australasian Catholic record","Australas Cathol Rec"
"The Australasian journal of dermatology","Australas J Dermatol"
"The Australasian nurses journal","Australas Nurses J"
"The Australian & New Zealand journal of obstetrics & gynaecology","Aust N Z J Obstet Gynaecol"
"The Australian & New Zealand journal of obstetrics & gynaecology. Supplement","Aust N Z J Obstet Gynaecol Suppl"
"The Australian and New Zealand general practitioner","Aust N Z Gen Pract"
"The Australian and New Zealand journal of mental health nursing","Aust N Z J Ment Health Nurs"
"The Australian and New Zealand journal of psychiatry","Aust N Z J Psychiatry"
"The Australian and New Zealand journal of sociology","Aust N Z J Sociol"
"The Australian and New Zealand journal of surgery","Aust N Z J Surg"
"The Australian economic review / Institute of Applied Economic Research","Aust Econ Rev"
"The Australian geographer","Aust Geogr"
"The Australian journal of advanced nursing : a quarterly publication of the Royal Australian Nursing Federation","Aust J Adv Nurs"
"The Australian journal of agricultural and resource economics","Aust J Agric Resour Econ"
"The Australian journal of anthropology","Aust J Anthropol"
"The Australian journal of clinical hypnotherapy / Australian Society of Clinical Hypnotherapists","Aust J Clin Hypnother"
"The Australian journal of dentistry","Aust J Dent"
"The Australian journal of experimental biology and medical science","Aust J Exp Biol Med Sci"
"The Australian journal of forensic sciences","Aust J Forensic Sci"
"The Australian journal of holistic nursing","Aust J Holist Nurs"
"The Australian journal of mental retardation","Aust J Ment Retard"
"The Australian journal of optometry","Aust J Optom"
"The Australian journal of physiotherapy","Aust J Physiother"
"The Australian journal of politics and history","Aust J Polit Hist"
"The Australian journal of rural health","Aust J Rural Health"
"The Australian journal of social issues","Aust J Soc Issues"
"The Australian journal of statistics","Aust J Stat"
"The Australian law journal","Aust Law J"
"The Australian library journal","Aust Libr J"
"The Australian nurses' journal","Aust Nurses J"
"The Australian outlook","Aust Outlook"
"The Australian quarterly","Aust Q"
"The Bangkok post","Bangkok Post"
"The Bangladesh journal of scientific research","Bangladesh J Sci Res"
"The Baptist quarterly","Baptist Q"
"The Baxter health policy review","Baxter Health Policy Rev"
"The Baylor dental journal","Baylor Dent J"
"The Beaver","Beaver"
"The Behavior analyst / MABA","Behav Anal"
"The Behavioral and brain sciences","Behav Brain Sci"
"The Biochemical journal","Biochem J"
"The Biological bulletin","Biol Bull"
"The Birth gazette","Birth Gaz"
"The Black law journal","Black Law J"
"The Black scholar","Black Scholar"
"The Blue sheet","Blue Sheet"
"The Bodleian Library record","Bodleian Libr Rec"
"The Body forum","Body Forum"
"The Body positive","Body Posit"
"The Bombay Hospital journal","Bombay Hosp J"
"The Book collector","Book Collect"
"The Bookman","Bookman"
"The Boston University public interest law journal","Boston Univ Public Interest Law J"
"The Boston globe","Boston Globe"
"The Botanical review; interpreting botanical progress","Bot Rev"
"The Brazilian journal of infectious diseases : an official publication of the Brazilian Society of Infectious Diseases","Braz J Infect Dis"
"The British Library journal. British Library","Br Libr J"
"The British dental surgery assistant","Br Dent Surg Assist"
"The British homoeopathic journal","Br Homeopath J"
"The British journal for eighteenth-century studies","Br J 18th Cent Stud"
"The British journal for the philosophy of science","Br J Philos Sci"
"The British journal of addiction to alcohol and other drugs","Br J Addict Alcohol Other Drugs"
"The British journal of cancer. Supplement","Br J Cancer Suppl"
"The British journal of clinical practice","Br J Clin Pract"
"The British journal of clinical psychology / the British Psychological Society","Br J Clin Psychol"
"The British journal of criminology","Br J Criminol"
"The British journal of dermatology","Br J Dermatol"
"The British journal of disorders of communication","Br J Disord Commun"
"The British journal of educational psychology","Br J Educ Psychol"
"The British journal of family planning","Br J Fam Plann"
"The British journal of general practice : the journal of the Royal College of General Practitioners","Br J Gen Pract"
"The British journal of mathematical and statistical psychology","Br J Math Stat Psychol"
"The British journal of medical psychology","Br J Med Psychol"
"The British journal of nutrition","Br J Nutr"
"The British journal of ophthalmology","Br J Ophthalmol"
"The British journal of oral & maxillofacial surgery","Br J Oral Maxillofac Surg"
"The British journal of oral surgery","Br J Oral Surg"
"The British journal of physical medicine, including its application to industry","Br J Phys Med"
"The British journal of physiological optics","Br J Physiol Opt"
"The British journal of psychiatry : the journal of mental science","Br J Psychiatry"
"The British journal of psychiatry. Supplement","Br J Psychiatry Suppl"
"The British journal of radiology","Br J Radiol"
"The British journal of social and clinical psychology","Br J Soc Clin Psychol"
"The British journal of social psychology / the British Psychological Society","Br J Soc Psychol"
"The British journal of sociology","Br J Sociol"
"The British journal of sports history","Br J Sports Hist"
"The British journal of surgery","Br J Surg"
"The British journal of theatre nursing : NATNews : the official journal of the National Association of Theatre Nurses","Br J Theatre Nurs"
"The British journal of tuberculosis and diseases of the chest","Br J Tuberc Dis Chest"
"The British journal of venereal diseases","Br J Vener Dis"
"The British studies monitor","Br Stud Monit"
"The British veterinary journal","Br Vet J"
"The Brookings review","Brookings Rev"
"The Brooklyn Hospital journal","Brooklyn Hosp J"
"The Bryologist","Bryologist"
"The Bulletin - American Association of Dental Editors","Bull Am Assoc Dent Ed"
"The Bulletin - Essex County Dental Society","Bull Essex Cty Dent Soc"
"The Bulletin of Akron City Hospital","Bull Akron City Hosp"
"The Bulletin of Louis A. Weiss Memorial Hospital","Bull Louis A Weiss Mem Hosp"
"The Bulletin of Tokyo Dental College","Bull Tokyo Dent Coll"
"The Bulletin of Tokyo Medical and Dental University","Bull Tokyo Med Dent Univ"
"The Bulletin of mathematical biophysics","Bull Math Biophys"
"The Bulletin of the Academy of General Dentistry","Bull Acad Gen Dent"
"The Bulletin of the American Academy of Psychiatry and the Law","Bull Am Acad Psychiatry Law"
"The Bulletin of the American College of Physicians","Bull Am Coll Physicians"
"The Bulletin of the Bergen County Dental Society","Bull Bergen Cty Dent Soc"
"The Bulletin of the Cincinnati Dental Society","Bull Cincinnati Dent Soc"
"The Bulletin of the Cleveland Dental Society","Bull Cleve Dent Soc"
"The Bulletin of the Fifth District Dental Society","Bull Fifth Dist Dent Soc (Fresno)"
"The Bulletin of the High Institute of Public Health","Bull High Inst Public Health"
"The Bulletin of the Kanagawa Dental College : BKDC / KDS","Bull Kanagawa Dent Coll"
"The Bulletin of the Michigan Dental Hygienists' Association","Bull Mich Dent Hyg Assoc"
"The Bulletin of the Philadelphia County Dental Society","Bull Phila Cty Dent Soc"
"The Bulletin of the Toledo Dental Society","Bull Toledo Dent Soc"
"The Bulletin of the Tulane Medical Faculty","Bull Tulane Univ Med Fac"
"The Bulletin of the Yamaguchi Medical School","Bull Yamaguchi Med Sch"
"The Bulletin of the atomic scientists","Bull At Sci"
"The Bur","Bur"
"The Burlington magazine","Burlingt Mag"
"The CCL news","CCL News"
"The CLAO journal : official publication of the Contact Lens Association of Ophthalmologists, Inc","CLAO J"
"The COBASHECA (community based health care) newsletter","COBASHECA"
"The California clinician","Calif Clin"
"The California school psychologist : CASP / California Association of School Psychologists","Calif School Psychol"
"The Californians","Californians"
"The Cambridge law journal","Camb Law J"
"The Canadian","Canadian"
"The Canadian bar review","Can Bar Rev"
"The Canadian dental hygienist","Can Dent Hyg"
"The Canadian entomologist","Can Entom"
"The Canadian forum","Can Forum"
"The Canadian geographer. Geographe canadien","Can Geogr"
"The Canadian historical review","Can Hist Rev"
"The Canadian journal of cardiology","Can J Cardiol"
"The Canadian journal of economics. Revue canadienne d'economique","Can J Econ"
"The Canadian journal of hospital pharmacy","Can J Hosp Pharm"
"The Canadian journal of human sexuality","Can J Hum Sex"
"The Canadian journal of medical radiation technology / CAMRT","Can J Med Radiat Technol"
"The Canadian journal of native studies","Can J Native Stud"
"The Canadian journal of neurological sciences. Le journal canadien des sciences neurologiques","Can J Neurol Sci"
"The Canadian journal of ob/gyn & women's health care","Can J Ob Gyn Womens Health Care"
"The Canadian journal of oncology","Can J Oncol"
"The Canadian journal of psychiatric nursing","Can J Psychiatr Nurs"
"The Canadian journal of radiography, radiotherapy, nuclear medicine","Can J Radiogr Radiother Nucl Med"
"The Canadian journal of urology","Can J Urol"
"The Canadian journal of women's health care for physicians addressing women's health issues","Can J Womens Health Care Phys Addressing Womens Health Issues"
"The Canadian nurse","Can Nurse"
"The Canadian review of sociology and anthropology. La Revue canadienne de sociologie et d'anthropologie","Can Rev Sociol Anthropol"
"The Canadian veterinary journal. La revue veterinaire canadienne","Can Vet J"
"The Canadian yearbook of international law. Annuaire canadien de droit international","Can Yearb Int Law"
"The Capital chemist","Cap Chem"
"The Career development quarterly","Career Dev Q"
"The Carmarthen antiquary","Carmarthen Antiq"
"The Carmarthensire hisorian","Carmarthensh Hist"
"The Carolina journal of pharmacy","Carol J Pharm"
"The Cartographic journal","Cartogr J"
"The Case manager","Case Manager"
"The Catholic historical review","Cathol Hist Rev"
"The Catholic lawyer","Cathol Lawyer"
"The Catholic medical quarterly","Cathol Med Q"
"The Catholic mind","Cathol Mind"
"The Catholic nurse","Cathol Nurse"
"The Cato journal","Cato J"
"The Centennial review","Centen Rev"
"The Center magazine","Cent Mag"
"The Central African journal of medicine","Cent Afr J Med"
"The Cerebral palsy journal","Cereb Palsy J"
"The Cervix and the lower female genital tract","Cervix Low Female Genital Tract"
"The Ceylon medical journal","Ceylon Med J"
"The Chaucer review","Chaucer Rev"
"The Chemist and druggist","Chem Drug"
"The Chesopiean","Chesopiean"
"The Chesterton review","Chesterton Rev"
"The Chicago Medical School quarterly","Chic Med Sch Q"
"The Chicago medical recorder","Chic Med Rec"
"The China business review","China Bus Rev"
"The China geographer","Chnia Geogr"
"The China quarterly","China Q"
"The Chinese journal of dental research : the official journal of the Scientific Section of the Chinese Stomatological Association (CSA)","Chin J Dent Res"
"The Chinese journal of physiology","Chin J Physiol"
"The Chronicle","Chronicle"
